date,sunrise,sunset,daylength,solar_noon_time
1,08:18 ↑ (130°),15:44 ↑ (230°),07:25:45,12:01 (12.3°)
2,08:20 ↑ (130°),15:43 ↑ (230°),07:23:13,12:02 (12.2°)
3,08:21 ↑ (130°),15:42 ↑ (229°),07:20:48,12:02 (12.0°)
4,08:23 ↑ (131°),15:41 ↑ (229°),07:18:29,12:02 (11.9°)
5,08:24 ↑ (131°),15:41 ↑ (229°),07:16:17,12:03 (11.8°)
6,08:26 ↑ (131°),15:40 ↑ (229°),07:14:11,12:03 (11.6°)
7,08:27 ↑ (132°),15:40 ↑ (228°),07:12:12,12:04 (11.5°)
8,08:29 ↑ (132°),15:39 ↑ (228°),07:10:20,12:04 (11.4°)
9,08:30 ↑ (132°),15:39 ↑ (228°),07:08:36,12:04 (11.3°)
10,08:31 ↑ (132°),15:38 ↑ (228°),07:06:58,12:05 (11.2°)
11,08:33 ↑ (133°),15:38 ↑ (227°),07:05:28,12:05 (11.1°)
12,08:34 ↑ (133°),15:38 ↑ (227°),07:04:05,12:06 (11.1°)
13,08:35 ↑ (133°),15:38 ↑ (227°),07:02:51,12:06 (11.0°)
14,08:36 ↑ (133°),15:38 ↑ (227°),07:01:43,12:07 (10.9°)
15,08:37 ↑ (133°),15:38 ↑ (227°),07:00:44,12:07 (10.9°)
16,08:38 ↑ (133°),15:38 ↑ (227°),06:59:53,12:08 (10.8°)
17,08:39 ↑ (133°),15:38 ↑ (227°),06:59:10,12:08 (10.8°)
18,08:39 ↑ (133°),15:38 ↑ (227°),06:58:35,12:09 (10.7°)
19,08:40 ↑ (133°),15:38 ↑ (227°),06:58:09,12:09 (10.7°)
20,08:41 ↑ (134°),15:39 ↑ (226°),06:57:50,12:10 (10.7°)
21,08:41 ↑ (134°),15:39 ↑ (226°),06:57:40,12:10 (10.7°)
22,08:42 ↑ (134°),15:40 ↑ (226°),06:57:38,12:11 (10.7°)
23,08:42 ↑ (134°),15:40 ↑ (226°),06:57:45,12:11 (10.7°)
24,08:43 ↑ (133°),15:41 ↑ (227°),06:58:00,12:12 (10.7°)
25,08:43 ↑ (133°),15:41 ↑ (227°),06:58:23,12:12 (10.7°)
26,08:43 ↑ (133°),15:42 ↑ (227°),06:58:54,12:13 (10.8°)
27,08:43 ↑ (133°),15:43 ↑ (227°),06:59:34,12:13 (10.8°)
28,08:44 ↑ (133°),15:44 ↑ (227°),07:00:22,12:14 (10.8°)
29,08:44 ↑ (133°),15:45 ↑ (227°),07:01:18,12:14 (10.9°)
30,08:44 ↑ (133°),15:46 ↑ (227°),07:02:21,12:15 (11.0°)
31,08:43 ↑ (133°),15:47 ↑ (227°),07:03:33,12:15 (11.0°)
