date,sunrise,sunset,daylength,solar_noon_time,temp_mean,temp_min,temp_max
2011-12-01,08:18,15:44,07:25:45,12:01,3.6,-0.4,4.6
2011-12-02,08:20,15:43,07:23:13,12:02,2.6,-1.5,7.5
2011-12-03,08:21,15:42,07:20:48,12:02,2.4,0.4,4.4
2011-12-04,08:23,15:41,07:18:29,12:02,-1.6,-0.9,0.4
2011-12-05,08:24,15:41,07:16:17,12:03,-1.6,-4.2,0.2
2011-12-06,08:26,15:40,07:14:11,12:03,-2.7,-2.8,1.2
2011-12-07,08:27,15:40,07:12:12,12:04,0.2,-5.3,3.8
2011-12-08,08:29,15:39,07:10:20,12:04,2.4,-0.8,6.7
2011-12-09,08:30,15:39,07:08:36,12:04,-0.8,0.9,1.4
2011-12-10,08:31,15:38,07:06:58,12:05,-3.2,-8.0,3.5
2011-12-11,08:33,15:38,07:05:28,12:05,0.1,-6.2,3.6
2011-12-12,08:34,15:38,07:04:05,12:06,0.8,-3.0,5.1
2011-12-13,08:35,15:38,07:02:51,12:06,1.9,-0.1,4.5
2011-12-14,08:36,15:38,07:01:43,12:07,2.8,-0.1,5.7
2011-12-15,08:37,15:38,07:00:44,12:07,-1.3,1.2,2.5
2011-12-16,08:38,15:38,06:59:53,12:08,-4.9,-8.3,-0.4
2011-12-17,08:39,15:38,06:59:10,12:08,-3.0,-8.4,0.5
2011-12-18,08:39,15:38,06:58:35,12:09,-4.4,-7.9,-0.3
2011-12-19,08:40,15:38,06:58:09,12:09,-3.2,-8.9,3.9
2011-12-20,08:41,15:39,06:57:50,12:10,0.2,-4.2,2.2
2011-12-21,08:41,15:39,06:57:40,12:10,4.8,0.1,10.5
2011-12-22,08:42,15:40,06:57:38,12:11,9.0,1.1,10.5
2011-12-23,08:42,15:40,06:57:45,12:11,4.2,0.2,4.4
2011-12-24,08:43,15:41,06:58:00,12:12,3.4,-0.1,10.8
2011-12-25,08:43,15:41,06:58:23,12:12,7.9,4.1,12.6
2011-12-26,08:43,15:42,06:58:54,12:13,8.0,8.6,13.1
2011-12-27,08:43,15:43,06:59:34,12:13,2.3,-2.1,8.7
2011-12-28,08:44,15:44,07:00:22,12:14,3.8,-1.4,6.5
2011-12-29,08:44,15:45,07:01:18,12:14,0.6,0.6,2.9
2011-12-30,08:44,15:46,07:02:21,12:15,0.1,-2.5,7.1
2011-12-31,08:43,15:47,07:03:33,12:15,5.7,-2.0,10.0
